soil,median_soil_toc_combustion,median_soil_total_c_combustion,median_som_loi_percent_wt_loss,median_ca_co3_content,median_som_walkley_black,median_p_h_1_1_water,mad_soil_toc_combustion,mad_soil_total_c_combustion,mad_som_loi_percent_wt_loss,mad_ca_co3_content,mad_som_walkley_black,mad_p_h_1_1_water
Soil.2021.101,3.93,4.1,7.02,2.47,6.49,NA,0.078,0.125,0.3,0.35,0.34,NA
Soil.2021.102,2,2.1,4.05,1.1,3.48,NA,0.057,0.06,0.146,0.195,0.151,NA
Soil.2021.103,2.27,2.28,3.8,0.63,3.74,NA,0.07,0.112,0.15,0.093,0.25,NA
Soil.2021.104,2.33,2.31,4.82,0.6,3.86,NA,0.052,0.065,0.19,0.093,0.215,NA
Soil.2021.105,1.34,1.31,2.72,0.3,2.23,NA,0.048,0.048,0.115,0.036,0.132,NA
Soil.2021.106,2.25,2.23,3.88,0.41,3.7,NA,0.115,0.07,0.17,0.14,0.09,NA
Soil.2021.107,1.7,1.7,3.29,0.4,3.1,NA,0.1,0.06,0.11,0.1,0.05,NA
Soil.2021.108,1.54,1.57,3.06,0.59,2.73,NA,0.066,0.044,0.08,0.11,0.135,NA
Soil.2021.109,2.75,2.73,5.18,0.5,4.76,NA,0.155,0.11,0.18,0.2,0.24,NA
Soil.2021.110,0.29,0.32,0.72,0.5,0.615,NA,0.014,0.02,0.08,0.1,0.114,NA
Soil.2021.111,4.29,4.17,7.04,0.685,6.85,NA,0.167,0.131,0.28,0.114,0.3,NA
Soil.2021.112,2.3,2.29,3.86,0.515,3.7,NA,0.191,0.094,0.14,0.073,0.188,NA
Soil.2021.113,1.14,1.13,2.6,0.5,1.98,NA,0.04,0.03,0.1,0.2,0.1,NA
Soil.2021.114,1.29,1.62,2.57,4.08,2.13,NA,0.086,0.065,0.2,0.81,0.166,NA
Soil.2021.115,2.03,2.04,3.6,0.6,3.5,NA,0.16,0.09,0.15,0.108,0.244,NA
Soil.2020.101,1.32,1.38,2.4,0.33,2.3,NA,0.081,0.072,0.1,0.058,0.11,NA
Soil.2020.102,2.42,2.54,5.11,0.33,4.19,NA,0.17,0.08,0.15,0.058,0.21,NA
Soil.2020.103,0.966,1.09,1.8,2.15,1.7,NA,0.084,0.055,0.1,0.455,0.12,NA
Soil.2020.104,2.12,2.08,4.26,0.64,3.43,NA,0.09,0.095,0.23,0.095,0.225,NA
Soil.2020.105,3.8,3.87,5.8,1.7,6.13,NA,0.11,0.15,0.21,0.298,0.47,NA
Soil.2020.106,4.7,4.85,9.24,1.12,8.2,NA,0.21,0.15,0.3,0.104,0.6,NA
Soil.2020.107,3.6,3.78,5.84,1.28,5.96,NA,0.12,0.144,0.18,0.119,0.322,NA
Soil.2020.108,1.24,1.28,2.5,0.845,2.12,NA,0.103,0.05,0.1,0.096,0.123,NA
Soil.2020.109,2.02,1.99,3.93,0.4,3.5,NA,0.1,0.07,0.13,0.14,0.1,NA
Soil.2020.110,1.1,1.08,2.4,0.4,1.94,NA,0.08,0.04,0.1,0.052,0.135,NA
Soil.2020.111,2.11,2.1,4.29,0.75,3.63,NA,0.04,0.08,0.235,0.127,0.195,NA
Soil.2020.112,2.17,2.22,3.7,0.495,3.82,NA,0.12,0.184,0.2,0.1,0.324,NA
Soil.2020.113,0.83,0.85,2.02,0.509,1.57,NA,0.03,0.03,0.119,0.063,0.13,NA
Soil.2020.114,3.69,3.79,5.88,1.15,5.9,NA,0.11,0.102,0.23,0.095,0.38,NA
Soil.2020.115,1.33,1.52,2.91,2.37,2.32,NA,0.09,0.058,0.187,0.209,0.217,NA
Soil.2020.116,2.7,2.66,5.15,0.86,4.73,NA,0.095,0.12,0.25,0.134,0.27,NA
Soil.2020.117,2.54,2.47,4.8,0.44,4.36,NA,0.078,0.125,0.14,0.075,0.155,NA
Soil.2020.118,1.68,2.64,3.5,8.57,2.76,NA,0.145,0.105,0.21,0.685,0.181,NA
Soil.2020.119,3.7,3.78,5.8,1.23,5.9,NA,0.138,0.173,0.21,0.151,0.4,NA
Soil.2020.120,0.668,0.68,1.35,0.385,1.26,NA,0.048,0.038,0.08,0.071,0.14,NA
Soil.2019.101,1.18,1.61,3.12,4.6,1.92,NA,0.078,0.034,0.208,0.8,0.11,NA
Soil.2019.102,0.854,0.85,1.8,0.63,1.6,NA,0.055,0.031,0.1,0.155,0.105,NA
Soil.2019.103,1.57,1.6,3.26,0.365,2.71,NA,0.051,0.042,0.13,0.063,NA,NA
Soil.2019.104,0.968,1.11,2.17,1.3,1.72,NA,0.035,0.034,0.155,0.145,0.1,NA
Soil.2019.105,1.69,1.72,3.12,0.445,2.89,NA,0.052,0.043,0.135,0.081,0.165,NA
Soil.2019.106,0.424,0.46,1,0.47,0.94,NA,0.035,0.02,0.07,0.086,0.13,NA
Soil.2019.107,3.41,3.53,5.83,2.06,5.52,NA,0.1,0.099,0.23,0.478,0.22,NA
Soil.2019.108,0.576,0.6,1.3,0.63,1.1,NA,0.018,0.038,0.1,0.098,0.1,NA
Soil.2019.109,0.888,0.894,2.06,0.49,1.5,NA,0.017,0.026,0.14,0.074,0.144,NA
Soil.2019.110,1.58,1.57,3.27,0.37,2.8,NA,0.045,0.05,0.135,0.076,0.14,NA
Soil.2019.111,3.21,3.19,6.39,1.41,5.4,NA,0.09,0.091,0.33,0.263,0.39,NA
Soil.2019.112,1.81,1.8,3.48,1.2,3,NA,0.072,0.054,0.18,0.26,0.2,NA
Soil.2019.113,2.77,2.77,5.22,0.8,4.63,NA,0.074,0.09,0.25,0.125,0.281,NA
Soil.2019.114,1.59,1.6,3.3,0.359,2.86,NA,0.06,0.061,0.12,0.052,0.21,NA
Soil.2019.115,1.72,1.75,4,0.63,3.03,NA,0.04,0.032,0.16,0.108,0.17,NA
Soil.2019.116,3.31,4.03,5.3,8.48,5,NA,0.346,0.113,0.2,0.325,0.25,NA
Soil.2019.117,1.59,1.61,3.3,0.3,2.88,NA,0.07,0.042,0.11,0.11,0.15,NA
Soil.2019.118,2.33,2.3,3.9,0.34,3.86,NA,0.148,0.093,0.16,0.26,0.165,NA
Soil.2019.119,0.406,0.41,0.8,0.32,0.8,NA,0.042,0.035,0.05,0.18,0.115,NA
Soil.2019.120,1.12,1.12,2.61,0.3,1.96,NA,0.02,0.03,0.09,0.1,0.14,NA
Soil.2018.101,1.27,1.28,2.58,0.48,2.15,NA,0.06,0.03,0.15,0.076,0.125,NA
Soil.2018.102,3.37,3.34,6.41,0.79,5.64,NA,0.084,0.07,0.25,0.128,0.355,NA
Soil.2018.103,3.51,3.84,5.99,4.38,5.32,NA,0.15,0.066,0.2,0.45,0.475,NA
Soil.2018.104,0.99,1.02,1.99,0.5,1.81,NA,0.046,0.029,0.1,0.075,0.11,NA
Soil.2018.105,0.288,0.339,1.02,0.75,0.6,NA,0.019,0.038,0.12,0.18,0.085,NA
Soil.2018.106,1.54,1.5,2.44,0.55,2.5,NA,0.06,0.11,0.12,0.058,0.2,NA
Soil.2018.107,1.28,1.28,2.62,0.47,2.19,NA,0.03,0.036,0.12,0.105,0.105,NA
Soil.2018.108,2.48,2.51,4.81,0.5,4.4,NA,0.05,0.079,0.18,0.091,0.13,NA
Soil.2018.109,2.06,2.12,4.14,0.958,3.4,NA,0.107,0.06,0.16,0.085,0.25,NA
Soil.2018.110,0.93,0.95,1.74,0.45,1.83,NA,0.044,0.086,0.11,0.063,0.134,NA
